## US-003: IDE Web Low-Code para Formularios Inteligentes (iForm)
**Épica:** 2 — IDE Formularios | **Estado:** ✅ COMPLETADA (Back+Front)

| CA | Título (corto) | Back | Front | Unitarios | Componente | Integración | E2E | UAT | Sprint | Notas / Handoff |
| CA-32 | Validaciones Cruzadas entre Múltiples Campos | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA31_CA35 |
| CA-33 | Exportación a PDF del Formulario Diligenciado | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA31_CA35 |
| CA-34 | Grupos de Campos Repetibles (Data Grids / Tablas) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA31_CA35 |
| CA-35 | Ayudantes Locales (Tooltips y Placeholders) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA31_CA35 |
| CA-36 | Máscaras de Entrada (Input Masks) para Formatos Específicos | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA36_CA40 |
| CA-37 | Visor Histórico Inmutable para Auditoría | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA36_CA40 |
| CA-38 | Restricciones de Longitud Dinámicas (Zod min/max) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA36_CA40 |
| CA-39 | Condicionamiento de Archivos Adjuntos | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA36_CA40 |
| CA-40 | Dropdown de Búsqueda Interactiva (Searchable Select) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA36_CA40 |
| CA-41 | Restricciones en Grillas Repetibles (Min/Max Rows) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA41_CA45 |
| CA-43 | Data Binding (Precarga Automática desde Camunda) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA41_CA45 |
| CA-45 | Multi-Select Visual (Pastillas/Etiquetas) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA41_CA45 |
| CA-46 | Sello Visual de Aprobatoria con Rol | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA46_CA50 |
| CA-47 | Campos Ocultos (Hidden Inputs) para Metadata | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA46_CA50 |
| CA-48 | Validaciones Condicionales (Required-If) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA46_CA50 |
| CA-49 | Restricción de Cantidad Mínima y Máxima de Adjuntos | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA46_CA50 |
| CA-50 | Traducción Silenciosa de Formatos (Mascara Front vs Dato Back) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA46_CA50 |
| CA-51 | Grillas Editables con Protección y Auditoría Parcial | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA51_CA55 |
| CA-52 | Feedback Visual en Llamadas a APIs (Estado Indeterminado) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA51_CA55 |
| CA-53 | Enmascaramiento de Inputs de Múltiple Tipo (Contraseñas / Sensibles) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA51_CA55 |
| CA-54 | Limpieza Automática por Lógica Condicional | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA51_CA55 |
| CA-55 | Grillas y Organización Multicolumna (Layouts) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA51_CA55 |
| CA-56 | Vista de Imprimible y de Solo-Lectura Plana (View-Mode) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA56_CA60 |
| CA-57 | Candado de Solo-Lectura Basado en Fórmulas | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA56_CA60 |
| CA-58 | Cronómetro de Productividad en Formulario (Timer Component) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA56_CA60 |
| CA-59 | Botón de Reset Dual-Verification | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA56_CA60 |
| CA-60 | Arrastrar y Soltar (Drag & Drop) Expandido para Adjuntos | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA56_CA60 |
| CA-61 | Captura de Geolocalización (GPS) Embebida | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA61_CA65 |
| CA-62 | Lector Nativo de Código de Barras / QR | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA61_CA65 |
| CA-63 | Auto-Validación de Regex Comunes (Email/URL) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA61_CA65 |
| CA-64 | Mensajes de Ayuda / Hint Texts Multi-Estado | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA61_CA65 |
| CA-68 | Generación Autónoma de Pruebas Unitarias QA (Auto-Vitest) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA66_CA70 |
| CA-69 | Simulador Multi-Rol en Tiempo Real (iForm Maestro) | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-2 | handoff_*_US003_CA66_CA70 |
| CA-70 | Modo Trámite Público Perimetral (Bypass JWT Seguro) | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-71 | Máquina del Tiempo JSON (Soft-Versioning Local) | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-72 | Resiliencia Periférica Offline y Tolerancia a Conflictos | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-73 | El Escáner Mágico (AI Prompt-to-Form & Document-to-Form) | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-74 | Diccionario Global y Fragmentos Reutilizables (Snippets) | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-75 | El Peaje Analítico (Data Diet / Prevención de Campos Huérfanos) | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-76 | El Sello Radiactivo de Privacidad (Data Classification PII) | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-77 | Integración Autocompletado Gobernado y Escudo Anti-DDoS | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-78 | Factoría Reactiva Zod On-The-Fly y Renderizado Bidireccional | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-79 | Sandboxing Estricto y Aislamiento Perimetral (Anti-XSS/RCE) | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-80 | Reactividad Controlada en Formularios Densos (Lazy Validation) | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-81 | Anclaje de Versión para Procesos In-Flight (Lazy Patching) | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-82 | Autoguardado Volátil, Limpieza de Fantasmas y Smart Buttons | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-83 | Sandbox de Pruebas Zod In-Browser (Shift-Left QA) | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-84 | Manejo Amigable de Errores de Sintaxis en el Mónaco IDE | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-85 | Auto-Guardado y Recuperación de Sesión en el Diseñador | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-86 | Catálogo y Explorador de Formularios (Form Manager Dashboard) | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-87 | Persistencia Versionada del Diseño JSON del Formulario | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | S-69 | handoff_backend_us003_rem_ca87 |
| CA-88 | Separación Arquitectónica de Contextos IDE vs Workdesk | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-69 | handoff_frontend_us003_rem_ca88 |
| CA-89 | Directriz de Complementariedad QA Sandbox vs Auto-Vitest | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | — | Pendiente |
| CA-90 | Límites de Rendimiento y Lazy Mount para iForm Maestro | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-69 | handoff_frontend_us003_rem_ca90 |
| CA-91 | Validación de Contrato de Integración con US-029 | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | ❌ | S-69 | handoff_backend_us003_rem_ca91 |
| CA-92 | Política de Expiración y Limpieza de LocalStorage | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-69 | handoff_frontend_us003_rem_ca92 |
| CA-93 | Componente Unificado de Vista Solo-Lectura | ✅ | ✅ | ❌ | ❌ | ❌ | ❌ | ❌ | S-69 | handoff_frontend_us003_rem_ca93 |

> ⚠️ **Nota:** Los CAs CA-1 a CA-20 fueron implementados en iteraciones tempranas antes de la formalización del protocolo de handoffs. Requieren reconciliación con `git log`.

### Resumen US-003
- **CAs con Handoff explícito:** CA-21 a CA-69 (~49 CAs) | **Delegados Back+Front:** ✅ | **QA:** ❌ Pendiente
- **CAs sin Handoff:** CA-1 a CA-20, CA-70+ | **Estado:** Requiere reconciliación

---

